Course ID;Course Title;Is Paid;Price;Subscribers;Reviews;Lectures;Level;Duration;Publish Date;Subject,,,,,,
962556;Learn To Code Trading Card Game Battle System With Unity 3D;TRUE;$199,00;56.650;1.212;70;All Levels;15.3 hours;2016-09-23;Web Development,,,,,
637786;Excel: 2015 to 2016 Edition;FALSE;Free;8.672;339;5;Expert Level;31 mins;2015-11-23;Excel Basic,,,,,,
4200228;Javascript Practicals Crash Course;TRUE;$24,00;59.066;502;7;Beginner Level;38 mins;2021-07-31;Web Development,,,,,
2323638;Beginner's Guitar Course Part 1;FALSE;Free;3.535;50;29;Beginner Level;38 mins;2019-04-18;Musical Instruments,,,,,,
3096118;Emotional Intelligence 2 - Heartfelt Leadership;TRUE;$199,00;13.862;163;11;All Levels;2.3 hours;2020-05-22;Public Speaking,,,,,
3062508;Beginners guide to Android App Development (Step by Step);TRUE;$49,00;239.447;1.285;17;All Levels;4.1 hours;2020-05-11;Web Development,,,,,
2182774;FREE Amazon FBA Course For Beginners - 2021 Private Label;FALSE;Free;30.624;1.585;15;All Levels;4.3 hours;2019-10-24;Business Finance,,,,,,
47817;Learn Ruby on Rails from Scratch;TRUE;$19,00;125.122;3.393;39;Intermediate Level;9.7 hours;2013-04-23;Web Development,,,,,
708578;Bootstrap 4 Quick Start: Code Modern Responsive Websites;FALSE;Free;134.658;6.587;18;Beginner Level;4 hours;2015-12-30;Web Development,,,,,,
2485240;Python : Master Programming and Development with 15 Projects;TRUE;$199,00;506.719;12.851;378;Beginner Level;32.1 hours;2019-08-20;Cyber Security,,,,,
4302197;The Comprehensive Microsoft Excel Course for all (No VBA);TRUE;$149,00;11.194;97;71;All Levels;7.1 hours;2021-09-17;Excel Basic,,,,,
2145726;Name that Key!;TRUE;$19,00;4.589;119;14;Expert Level;34 mins;2019-02-26;Musical Instruments,,,,,
3684002;The Python MicroDegree: From Basics To Building Python Apps;TRUE;$149,00;42.395;502;156;Intermediate Level;7.6 hours;2021-01-02;Cyber Security,,,,,
3727022;Management Consulting Skills Mastery;TRUE;$199,00;72.080;966;145;All Levels;7.6 hours;2020-12-31;Business Finance,,,,,
1612450;What You Need to Know Before You Learn to Play the Guitar;FALSE;Free;4.242;53;6;All Levels;35 mins;2018-06-12;Musical Instruments,,,,,,
787396;Microsoft Excel - Excel with The Ultimate Excel Course;TRUE;$189,00;8.806;1.678;191;All Levels;10.6 hours;2016-04-01;Excel Basic,,,,,
3792716;Diploma in Amazon Web Services (AWS);TRUE;$19,00;39.856;219;25;All Levels;2 hours;2021-03-23;Cyber Security,,,,,
1148688;Design Patterns in C# and .NET;TRUE;$99,00;66.014;9.726;173;Beginner Level;20.4 hours;2017-04-20;Web Development,,,,,
2420940;SVM for Beginners: Support Vector Machines in R Studio;TRUE;$19,00;52.423;111;54;All Levels;5.1 hours;2019-06-21;Web Development,,,,,
1326292;Complete Guide to TensorFlow for Deep Learning with Python;TRUE;$189,00;92.951;16.525;108;All Levels;14.2 hours;2017-09-26;Web Development,,,,,
1405632;SQL - MySQL for Data Analytics and Business Intelligence;TRUE;$189,00;173.160;43.463;315;Beginner Level;11.2 hours;2017-10-25;Business Finance,,,,,
2412206;Unconscious Bias: Fuel Diversity and Become a Better You;TRUE;$199,00;35.769;14.788;38;All Levels;2 hours;2019-07-22;Business Finance,,,,,
1020834;Music Theory for Electronic Producers - The Beginners Guide!;FALSE;Free;13.199;532;11;All Levels;50 mins;2017-05-22;Musical Instruments,,,,,,
